luat,support,confidence,lift,leverage,conviction
JUMBO BAG WOODLAND ANIMALS → JUMBO SHOPPER VINTAGE RED PAISLEY,0.0228,0.5088,7.3746,0.0197,1.896
LUNCH BAG PINK POLKADOT → LUNCH BAG CARS BLUE,0.0286,0.4677,7.211,0.0247,1.757
LUNCH BAG CARS BLUE → LUNCH BAG PINK POLKADOT,0.0286,0.4417,7.211,0.0247,1.682
LUNCH BAG WOODLAND → LUNCH BAG CARS BLUE,0.0247,0.4671,7.2027,0.0213,1.755
LUNCH BAG CARS BLUE → LUNCH BAG WOODLAND,0.0247,0.3806,7.2027,0.0213,1.529
LUNCH BAG BLACK SKULL. + LUNCH BAG SUKI DESIGN → LUNCH BAG RED RETROSPOT,0.021,0.6106,7.1967,0.0181,2.35
JUMBO BAG PINK VINTAGE PAISLEY → JUMBO SHOPPER VINTAGE RED PAISLEY,0.0244,0.492,7.1309,0.021,1.833
JUMBO SHOPPER VINTAGE RED PAISLEY → JUMBO BAG PINK VINTAGE PAISLEY,0.0244,0.3542,7.1309,0.021,1.472
PACK OF 60 PINK PAISLEY CAKE CASES → PACK OF 72 RETROSPOT CAKE CASES,0.0231,0.4853,7.0518,0.0198,1.809
LUNCH BAG PINK POLKADOT → LUNCH BAG BLACK SKULL.,0.0318,0.5194,7.0192,0.0273,1.927
LUNCH BAG BLACK SKULL. → LUNCH BAG PINK POLKADOT,0.0318,0.43,7.0192,0.0273,1.647
JAM MAKING SET PRINTED → JAM MAKING SET WITH JARS,0.0256,0.4196,6.8974,0.0219,1.618
JAM MAKING SET WITH JARS → JAM MAKING SET PRINTED,0.0256,0.4208,6.8974,0.0219,1.621
JUMBO BAG PINK POLKADOT + JUMBO SHOPPER VINTAGE RED PAISLEY → JUMBO BAG RED RETROSPOT,0.0223,0.8062,6.8885,0.0191,4.555
LUNCH BAG PINK POLKADOT → LUNCH BAG WOODLAND,0.0222,0.3622,6.8536,0.0189,1.485
LUNCH BAG WOODLAND → LUNCH BAG PINK POLKADOT,0.0222,0.4198,6.8536,0.0189,1.618
JUMBO BAG PINK POLKADOT + JUMBO STORAGE BAG SUKI → JUMBO BAG RED RETROSPOT,0.0247,0.802,6.8528,0.0211,4.459
JUMBO BAG PINK POLKADOT + JUMBO BAG RED RETROSPOT → JUMBO SHOPPER VINTAGE RED PAISLEY,0.0223,0.4662,6.7572,0.019,1.744
LUNCH BAG SPACEBOY DESIGN → LUNCH BAG CARS BLUE,0.0277,0.4374,6.744,0.0236,1.662
LUNCH BAG CARS BLUE → LUNCH BAG SPACEBOY DESIGN,0.0277,0.4267,6.744,0.0236,1.634
JUMBO BAG BAROQUE BLACK WHITE → JUMBO STORAGE BAG SUKI,0.0255,0.4635,6.7293,0.0217,1.736
JUMBO STORAGE BAG SUKI → JUMBO BAG BAROQUE BLACK WHITE,0.0255,0.3708,6.7293,0.0217,1.502
SET OF 6 SPICE TINS PANTRY DESIGN → SET OF 3 CAKE TINS PANTRY DESIGN,0.0233,0.502,6.679,0.0198,1.857
JUMBO BAG BAROQUE BLACK WHITE → JUMBO SHOPPER VINTAGE RED PAISLEY,0.0252,0.458,6.6373,0.0214,1.718
JUMBO SHOPPER VINTAGE RED PAISLEY → JUMBO BAG BAROQUE BLACK WHITE,0.0252,0.3657,6.6373,0.0214,1.49
JUMBO SHOPPER VINTAGE RED PAISLEY → JUMBO STORAGE BAG SUKI,0.0313,0.4532,6.5795,0.0265,1.703
JUMBO STORAGE BAG SUKI → JUMBO SHOPPER VINTAGE RED PAISLEY,0.0313,0.454,6.5795,0.0265,1.705
LUNCH BAG WOODLAND → LUNCH BAG BLACK SKULL.,0.0257,0.4856,6.5622,0.0218,1.8
LUNCH BAG SPACEBOY DESIGN → LUNCH BAG SUKI DESIGN,0.03,0.475,6.4988,0.0254,1.765
LUNCH BAG SUKI DESIGN → LUNCH BAG SPACEBOY DESIGN,0.03,0.4112,6.4988,0.0254,1.591
LUNCH BAG PINK POLKADOT → LUNCH BAG RED RETROSPOT,0.0338,0.5512,6.4969,0.0286,2.039
LUNCH BAG RED RETROSPOT → LUNCH BAG PINK POLKADOT,0.0338,0.398,6.4969,0.0286,1.559
LUNCH BAG CARS BLUE → LUNCH BAG SUKI DESIGN,0.0306,0.4718,6.4557,0.0259,1.755
LUNCH BAG SUKI DESIGN → LUNCH BAG CARS BLUE,0.0306,0.4187,6.4557,0.0259,1.609
LUNCH BAG WOODLAND → LUNCH BAG SUKI DESIGN,0.0249,0.4706,6.4391,0.021,1.751
JUMBO SHOPPER VINTAGE RED PAISLEY + JUMBO STORAGE BAG SUKI → JUMBO BAG RED RETROSPOT,0.0234,0.7485,6.3961,0.0197,3.511
LUNCH BAG BLACK SKULL. → LUNCH BAG CARS BLUE,0.0307,0.4143,6.3887,0.0259,1.597
LUNCH BAG CARS BLUE → LUNCH BAG BLACK SKULL.,0.0307,0.4727,6.3887,0.0259,1.756
JUMBO BAG BAROQUE BLACK WHITE → JUMBO BAG PINK POLKADOT,0.0248,0.4502,6.384,0.0209,1.691
JUMBO BAG PINK POLKADOT → JUMBO BAG BAROQUE BLACK WHITE,0.0248,0.3518,6.384,0.0209,1.458
LUNCH BAG SUKI DESIGN → LUNCH BAG BLACK SKULL.,0.0344,0.4712,6.3682,0.029,1.751
LUNCH BAG BLACK SKULL. → LUNCH BAG SUKI DESIGN,0.0344,0.4654,6.3682,0.029,1.734
JUMBO BAG PINK VINTAGE PAISLEY → JUMBO STORAGE BAG SUKI,0.0218,0.438,6.3597,0.0183,1.657
JUMBO BAG PINK POLKADOT → JUMBO STORAGE BAG SUKI,0.0308,0.4365,6.337,0.0259,1.652
JUMBO STORAGE BAG SUKI → JUMBO BAG PINK POLKADOT,0.0308,0.4469,6.337,0.0259,1.68
JUMBO BAG PINK VINTAGE PAISLEY → JUMBO BAG PINK POLKADOT,0.0222,0.4466,6.3331,0.0187,1.68
LUNCH BAG SPACEBOY DESIGN → LUNCH BAG BLACK SKULL.,0.0294,0.4653,6.2883,0.0248,1.732
LUNCH BAG BLACK SKULL. → LUNCH BAG SPACEBOY DESIGN,0.0294,0.3979,6.2883,0.0248,1.556
LUNCH BAG APPLE DESIGN → LUNCH BAG SUKI DESIGN,0.0255,0.4573,6.2577,0.0214,1.708
LUNCH BAG WOODLAND → LUNCH BAG RED RETROSPOT,0.0278,0.526,6.1988,0.0233,1.931
LUNCH BAG PINK POLKADOT → LUNCH BAG SPACEBOY DESIGN,0.024,0.392,6.1963,0.0201,1.541
LUNCH BAG SPACEBOY DESIGN → LUNCH BAG PINK POLKADOT,0.024,0.3796,6.1963,0.0201,1.513
JUMBO BAG STRAWBERRY → JUMBO BAG PINK POLKADOT,0.0207,0.4297,6.0925,0.0173,1.63
LUNCH BAG APPLE DESIGN → LUNCH BAG SPACEBOY DESIGN,0.0211,0.3786,5.9832,0.0176,1.507
LUNCH BAG PINK POLKADOT → LUNCH BAG SUKI DESIGN,0.0265,0.4328,5.9225,0.022,1.634
LUNCH BAG SUKI DESIGN → LUNCH BAG PINK POLKADOT,0.0265,0.3628,5.9225,0.022,1.473
JUMBO BAG APPLES → JUMBO STORAGE BAG SUKI,0.022,0.4079,5.9223,0.0183,1.573
LUNCH BAG SUKI DESIGN → LUNCH BAG RED RETROSPOT,0.0367,0.5021,5.9175,0.0305,1.838
LUNCH BAG RED RETROSPOT → LUNCH BAG SUKI DESIGN,0.0367,0.4325,5.9175,0.0305,1.633
LUNCH BAG BLACK SKULL. → LUNCH BAG RED RETROSPOT,0.037,0.5,5.893,0.0307,1.83
LUNCH BAG RED RETROSPOT → LUNCH BAG BLACK SKULL.,0.037,0.4361,5.893,0.0307,1.642
LUNCH BAG APPLE DESIGN → LUNCH BAG BLACK SKULL.,0.0242,0.4344,5.8699,0.0201,1.637
LUNCH BAG APPLE DESIGN → LUNCH BAG CARS BLUE,0.021,0.3764,5.8033,0.0174,1.5
JUMBO BAG PINK POLKADOT → JUMBO BAG RED RETROSPOT,0.0478,0.6785,5.7975,0.0396,2.746
JUMBO BAG RED RETROSPOT → JUMBO BAG PINK POLKADOT,0.0478,0.4089,5.7975,0.0396,1.572
JUMBO BAG SCANDINAVIAN BLUE PAISLEY → JUMBO BAG RED RETROSPOT,0.0261,0.6751,5.7684,0.0216,2.717
JUMBO BAG TOYS → JUMBO BAG RED RETROSPOT,0.0206,0.668,5.7078,0.017,2.659
LUNCH BAG SPACEBOY DESIGN → LUNCH BAG RED RETROSPOT,0.0305,0.4827,5.6886,0.0252,1.769
LUNCH BAG RED RETROSPOT → LUNCH BAG SPACEBOY DESIGN,0.0305,0.3599,5.6886,0.0252,1.463
JUMBO SHOPPER VINTAGE RED PAISLEY → JUMBO BAG PINK POLKADOT,0.0277,0.4011,5.6869,0.0228,1.552
JUMBO BAG PINK POLKADOT → JUMBO SHOPPER VINTAGE RED PAISLEY,0.0277,0.3924,5.6869,0.0228,1.532
LUNCH BAG RED RETROSPOT → LUNCH BAG CARS BLUE,0.031,0.3657,5.6382,0.0255,1.474
LUNCH BAG CARS BLUE → LUNCH BAG RED RETROSPOT,0.031,0.4784,5.6382,0.0255,1.754
JUMBO BAG APPLES → JUMBO BAG PINK POLKADOT,0.0213,0.3944,5.5918,0.0175,1.535
JUMBO BAG STRAWBERRY → JUMBO BAG RED RETROSPOT,0.0315,0.654,5.5882,0.0258,2.552
LUNCH BAG APPLE DESIGN → LUNCH BAG RED RETROSPOT,0.0263,0.4716,5.5577,0.0215,1.732
JUMBO BAG WOODLAND ANIMALS → JUMBO BAG RED RETROSPOT,0.0289,0.6449,5.5105,0.0236,2.487
JUMBO BAG BAROQUE BLACK WHITE → JUMBO BAG RED RETROSPOT,0.0347,0.6305,5.3878,0.0283,2.39
JUMBO BAG SPACEBOY DESIGN → JUMBO BAG RED RETROSPOT,0.0238,0.628,5.3663,0.0193,2.374
JUMBO STORAGE BAG SUKI → JUMBO BAG RED RETROSPOT,0.0425,0.6177,5.2781,0.0345,2.31
JUMBO BAG RED RETROSPOT → JUMBO STORAGE BAG SUKI,0.0425,0.3635,5.2781,0.0345,1.463
JUMBO BAG OWLS → JUMBO BAG RED RETROSPOT,0.0226,0.6066,5.1829,0.0182,2.244
RED RETROSPOT CHARLOTTE BAG → LUNCH BAG BLACK SKULL.,0.0208,0.3787,5.1183,0.0168,1.491
JUMBO BAG PINK VINTAGE PAISLEY → JUMBO BAG RED RETROSPOT,0.0297,0.5988,5.1164,0.0239,2.201
RED HANGING HEART T-LIGHT HOLDER → WHITE HANGING HEART T-LIGHT HOLDER,0.0285,0.6676,5.111,0.0229,2.616
JUMBO STORAGE BAG SKULLS → JUMBO BAG RED RETROSPOT,0.0247,0.5947,5.0817,0.0198,2.179
GREEN REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER → REGENCY CAKESTAND 3 TIER,0.0219,0.5129,5.0534,0.0176,1.844
JUMBO SHOPPER VINTAGE RED PAISLEY → JUMBO BAG RED RETROSPOT,0.04,0.5804,4.9593,0.032,2.104
PINK REGENCY TEACUP AND SAUCER → REGENCY CAKESTAND 3 TIER,0.0212,0.4986,4.9126,0.0169,1.792
JUMBO BAG APPLES → JUMBO BAG RED RETROSPOT,0.031,0.574,4.9048,0.0247,2.073
RECYCLING BAG RETROSPOT → JUMBO BAG RED RETROSPOT,0.0245,0.567,4.8449,0.0194,2.039
RECIPE BOX PANTRY YELLOW DESIGN → SET OF 3 CAKE TINS PANTRY DESIGN,0.0226,0.362,4.816,0.0179,1.449
GREEN REGENCY TEACUP AND SAUCER → REGENCY CAKESTAND 3 TIER,0.0277,0.4871,4.7999,0.0219,1.752
RED RETROSPOT CHARLOTTE BAG → LUNCH BAG RED RETROSPOT,0.022,0.3998,4.7118,0.0173,1.525
ROSES REGENCY TEACUP AND SAUCER → REGENCY CAKESTAND 3 TIER,0.0277,0.4764,4.6941,0.0218,1.716
SPOTTY BUNTING → PARTY BUNTING,0.0276,0.4363,4.536,0.0215,1.603
JUMBO BAG VINTAGE DOILY → JUMBO BAG RED RETROSPOT,0.0201,0.5038,4.305,0.0154,1.78
JUMBO BAG VINTAGE LEAF → JUMBO BAG RED RETROSPOT,0.0246,0.4951,4.2305,0.0188,1.749
JUMBO BAG ALPHABET → JUMBO BAG RED RETROSPOT,0.0242,0.4693,4.0098,0.0182,1.664
RED RETROSPOT CHARLOTTE BAG → JUMBO BAG RED RETROSPOT,0.0235,0.4264,3.6431,0.017,1.539
LUNCH BAG RED RETROSPOT → JUMBO BAG RED RETROSPOT,0.0324,0.3815,3.2595,0.0224,1.428
HEART OF WICKER LARGE → WHITE HANGING HEART T-LIGHT HOLDER,0.0215,0.3871,2.9632,0.0143,1.418
WOODEN PICTURE FRAME WHITE FINISH → WHITE HANGING HEART T-LIGHT HOLDER,0.0246,0.3762,2.8798,0.0161,1.394
WOODEN FRAME ANTIQUE WHITE → WHITE HANGING HEART T-LIGHT HOLDER,0.0202,0.3532,2.7039,0.0128,1.344
